"","study","mean.x","lci.x","uci.x","nobs.x","mean_bt.x","lci_bt.x","uci_bt.x","mean.y","lci.y","uci.y","nobs.y","mean_bt.y","lci_bt.y","uci_bt.y","mean","lci","uci","nobs","mean_bt","lci_bt","uci_bt"
"11","Cast",0.139571281219063,0.0819046164397295,0.197237945998397,401,14.9780760571376,8.53522801274855,21.8033832503498,0.0571122090196959,0.0199741634301258,0.0942502546092661,175,5.87746077911251,2.01749818640522,9.8834699959967,0.0601258329754786,0.0342617029759394,0.0859899629750178,342,6.19701690043628,3.48553960301974,8.97953899466801
"12","Cate",0.142857509576194,0.0852906894281486,0.20042432972424,388,15.3565417929446,8.90335912428735,22.1921145631554,NA,NA,NA,NA,NA,NA,NA,0.0598557983273151,0.0337581933315132,0.0859534033231171,336,6.16834389786789,3.4334467514981,8.97555481348864
"13","Chen",0.143130183344689,0.0857793227884925,0.200481043900886,398,15.3880007847418,8.95658594174926,22.1990447848445,NA,NA,NA,NA,NA,NA,NA,0.0604262926896694,0.0344069785214602,0.0864456068578786,338,6.2289296197853,3.50057461332229,9.02920616938081
"14","Cord",0.141154759080869,0.0834374628805276,0.198872055281211,399,15.1602855194193,8.70172342405837,22.0025860048046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Cres",0.136955897243222,0.0793921877677855,0.194519606718659,393,14.6777571352802,8.26288326061537,21.4727299467968,NA,NA,NA,NA,NA,NA,NA,0.0557552590157072,0.0302254259837832,0.0812850920476311,336,5.73388779099959,3.0686851364784,8.46800861577068
"16","deOl",0.14087770705335,0.0829871297197345,0.198768284386965,392,15.1283845481448,8.65278245406311,21.9899263442181,0.0567349420595501,0.0193832988827788,0.0940865852363214,166,5.83752424517747,1.957237468232,9.8654869090459,0.0604646933428139,0.0344563883777546,0.0864729983078732,328,6.23300895838967,3.50568868818215,9.03219267833175
"17","Dube",0.135475660772388,0.0781480606066485,0.192803260938127,398,14.5081325100255,8.12827421975268,21.2644195567699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Duva",0.139098574855976,0.0811512493756927,0.19704590033626,392,14.9237380329466,8.45349193917477,21.7799936849671,0.054292712888477,0.0162425238572739,0.0923429019196801,166,5.57936013235332,1.63751507400198,9.67408321465806,0.0583888996684036,0.0322131812441812,0.084564618092626,332,6.01271986683232,3.27376421352261,8.82431621575264
"19","Fras",0.14244384087848,0.0848049797196374,0.200082702037323,392,15.3088322711765,8.85047654930089,22.1503774833746,0.0555496205154364,0.0175699101242187,0.0935293309066541,166,5.71214706832788,1.77251689567741,9.80428094601264,0.0601571072785263,0.0340768496165419,0.0862373649405107,332,6.20033819006083,3.46641172135611,9.0065040822841
"20","Garc13",0.129828453211805,0.0749505951626805,0.18470631126093,398,13.8633037729091,7.78308995089565,20.2865120306754,NA,NA,NA,NA,NA,NA,NA,0.0547601211773798,0.0299304206945273,0.0795898216602323,338,5.62872033520156,3.03828381370248,8.28428179010938
"21","Garc18",0.146247606167065,0.0903134611334535,0.202181751200677,401,15.7482752439553,9.45173185776174,22.4070464171494,0.0563131831482042,0.0191115638127685,0.0935148024836399,175,5.79289573806911,1.92953587508815,9.80268567455871,0.0635985277811807,0.0391272893972388,0.0880697661651226,341,6.56644781855673,3.99028438321336,9.20643085094193
"22","Grif",0.141758762590014,0.0841875381617408,0.199329987018287,400,15.2298637466185,8.78328848596828,22.0584676549556,NA,NA,NA,NA,NA,NA,NA,0.0598419763356887,0.0339162929797397,0.0857676596916377,342,6.16687645004907,3.44980083579778,8.95531517794499
"23","Guim",0.128147775759115,0.0741645081061666,0.182131043412064,392,13.6720970090257,7.6983963516065,19.9771405717557,0.0455434625712547,0.0124908218954098,0.0785961032470996,174,4.65964914000376,1.25691580323488,8.17673115181681,0.0532635656717595,0.0297340637268567,0.0767930676166623,332,5.47075932042727,3.01805351498388,7.98186038342794
"24","Hang",0.141516519723091,0.0839119739809101,0.199121065465271,400,15.2019535147331,8.75331583807231,22.0329696739661,0.0530293273962254,0.0155699541069168,0.0904887006855339,174,5.446056924881,1.56917973857746,9.47091381089626,0.0582902219844853,0.0322935968433648,0.0842868471256058,340,6.00225929329106,3.28206936907935,8.7940921780765
"25","Hass",0.143484440501084,0.0860158618982912,0.200953019103877,355,15.4288850511263,8.98236148393636,22.2567333165195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Isla",0.139701826079136,0.0819929046062066,0.197410747552066,400,14.9930868337565,8.54481081204563,21.8244328828698,NA,NA,NA,NA,NA,NA,NA,0.0607778019754641,0.0350239717228264,0.0865316322281018,340,6.26627663849408,3.56445346857945,9.03858585064616
"27","Kaue",0.140212439521137,0.0830064497466275,0.197418429295647,403,15.0518188430316,8.65488164902031,21.8253687105195,0.0540782177154724,0.0172439664199251,0.0909124690110197,177,5.55671629781942,1.73935019005824,9.51731394749102,0.0598763018224238,0.0339092133857682,0.0858433902590793,340,6.17052074230406,3.44906845580391,8.96356673823293
