"","study","mean","lci","uci","nobs","mean_bt","lci_bt","uci_bt"
"25","Sala",0.16715272593518,0.104432278973558,0.229873172896802,460,18.193476361672,11.0080215549039,25.8440395458069
"26","Ande",0.169534004638106,0.107222056708885,0.231845952567327,461,18.47526334327,11.318141643805,26.0925471534613
"27","Moor",0.166824432694209,0.104068966973531,0.229579898414887,461,18.1546806107954,10.9676983339724,25.8071381116958
"28","Muku",0.152241415760143,0.0949882735313025,0.209494557988984,457,16.4441316987792,9.96459600865671,23.3054664795497
"29","Ruis17",0.168346875277094,0.105832782774399,0.230860967779789,463,18.3347013287564,11.1635976280272,25.9684090597967
"30","Ruis20",0.170064055368239,0.107304674927959,0.232823435808518,455,18.538077889085,11.3273389303448,26.2158607638181
"31","Wegn",0.172502664723615,0.110139346505626,0.234865982941605,443,18.8274987035189,11.6433630745436,26.4739260739303
"32","Fras",0.170779688426726,0.108162780173861,0.233396596679591,455,18.6229380170468,11.4229105032628,26.288223492278
"33","Ball",0.163689722840275,0.10161049078904,0.22576895489151,464,17.7848798810097,10.6952219659409,25.3286066209115
"34","Beeh",0.168024228954312,0.105659022628167,0.230389435280457,464,18.2965272312124,11.1442835031089,25.9090248629254
"35","Cate",0.171500737723968,0.108984499211955,0.234016976235981,451,18.7085018473035,11.5145064580191,26.3665944316961
"36","Chen",0.171012606896189,0.108723465530279,0.233301748262099,461,18.6505707081701,11.4854012147278,26.2762458221723
"37","deOl",0.169250035432746,0.106357416555708,0.232142654309783,455,18.4416247932658,11.2219331076384,26.1299645825462
"38","Land",0.167562899211726,0.104597173462353,0.230528624961099,457,18.2419661110574,11.0263276751181,25.9265513196088
"39","Rigo",0.167264273027028,0.104527085520339,0.230001460533717,461,18.206661235589,11.018546340994,25.860184815857
"40","Yao19",0.167364664815745,0.104607318527651,0.230122011103838,461,18.2185288094421,11.0274540501757,25.8753582474567
"41","Wies",0.168205279853855,0.105984731682658,0.230425828025053,465,18.3179468628437,11.1804900986886,25.9136071212896
"42","Vier",0.166161721784197,0.103974869197959,0.228348574370436,465,18.0764041550811,10.957257011659,25.6523240902491
"43","Hass",0.171696872515027,0.110112056831177,0.233281688198877,407,18.7317869979497,11.6403164050824,26.2737127381047
"44","Isla",0.167820046210796,0.10529191720632,0.230348175215271,463,18.2723755874922,11.1034893223682,25.9038299555239
"45","Lado",0.169175625714663,0.106914735704444,0.231436515724882,464,18.4328119132416,11.2839364969518,26.0409307866411
"46","Sequ",0.168426919526888,0.106258695363534,0.230595143690243,465,18.3441737202491,11.2109536877657,25.9349280723704
"47","Thap",0.170490820876073,0.107684676769281,0.233296964982865,446,18.5886766482277,11.3696515630578,26.2756418090725
"48","Sain",0.167431928972933,0.105015194133781,0.229848663812085,464,18.2264809465904,11.0727486769522,25.840955261377
"49","Grif",0.169539670667184,0.107134603792575,0.231944737541792,463,18.4759346294588,11.308406973349,26.1050038177676
"50","Snap",0.168026565903014,0.105613098424899,0.23044003338113,464,18.2968036844512,11.1391794076428,25.9153957816179
"51","Kaue",0.167777398187329,0.105844368414166,0.229710427960492,466,18.2673316120013,11.1648855368852,25.8235607320628
"52","Cord",0.169159808311972,0.106597889141085,0.231721727482859,462,18.4309386285791,11.2486821495201,26.0768842690221
