StudyID,Obs ID,DOI,DispersingAgent,DispersingAgent.SodiumHex,DispersingAgent.OtherSolution,DispersingAgent.GlassBeads,DispersingAgent.Sonication,DispersingAgent.Combo,FractionationMethod,FractionationMethod.Size,FractionationMethod.Density,FractionationMethod.SizeAndDensity,Continent,Continent.Africa,Continent.Asia,Continent.Australia,Continent.Europe,Continent.NorthAmerica,Continent.SouthAmerica,country,ResponseCalc,ResponseCalc.Direct,ResponseCalc.Indirect,rv type,summed,rv,mean control in g kg-1,mean treatment in g kg-1,sd control in g kg -1,sd treatment in g kg-1,sd imputed in g kg-1,control BD (Mg m-3),treat BD (Mg m-3),mean control in Mg ha-1,mean treatment in Mg ha-1,sd control in Mg ha-1,sd treatment in Mg ha-1,sd imputed in Mg ha-1,depth upper limit (cm),depth lower limit (cm),depth type,depth surface,depth subsoil,depth deepsoil,soilorder,soilorder.Alfisols,soilorder.Inceptisols,soilorder.Mollisols,soilorder.Oxisols,soilorder.Spodosols,soilorder.Ultisols,Baseline depth (cm),Baseline % sand,Baseline % silt,Baseline % clay,Baseline TOC %,Baseline pH,pH method,SoilCollectionSeason,SoilCollectionSeason.spring,SoilCollectionSeason.summer,SoilCollectionSeason.fall,SoilCollectionSeason.winter,location name,lat decimal,long decimal,maincrop,maincrop.cereal,maincrop.legume,maincrop.cereallegume,maincrop.otherrowcrop,maincrop.perennial,number of crop species in control,cover crop added,ccadded.grass,ccadded.legume,ccadded.grasslegume,ccadded.brassica,ccadded.grassbrassica,ccadded.legumebrassica,ccadded.grasslegumebrassica,total C inputs cover crops (Mg ha-1 yr-1),bg C inputs cover crops (Mg ha-1 yr-1),ag C inputs cover crops (Mg ha-1 yr-1),ag C inputs fallow (Mg ha-1 yr-1),ccseason,ccseason.spring,ccseason.summer,ccseason.fall,ccseason.winter,ccseason.yearround,number crop species added,duration (yr),reps,tillage,tillage conventional,tillage reducednotill,N fertilization rate (kg ha-1 yr-1),N type,residue removal (%),logRR type,logRR,percent change,var,Further notes,Further notes 2
Ande,0013,10.1002/saj2.20358,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,16.4,17.7,4.2,5.5,,1.08,1.12,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,spring,1,0,0,0,Field I,41.1710278,-96.49555,corn-soybean,0,0,1,0,0,2,oat,1,0,0,0,0,0,0,NA,NA,0.19479375,NA,winter,0,0,0,1,0,1,5,3,no-till,0,1,22.4,inorganic,NA,gkg,0.076,8,0.0540473,"cc planted every other year after corn, not after soybean",
Ande,0014,10.1002/saj2.20358,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,23.2,23.3,8.6,7,,1.15,1.09,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,spring,1,0,0,0,Field II,41.1710278,-96.49555,corn-soybean,0,0,1,0,0,2,oat,1,0,0,0,0,0,0,NA,NA,0.09585,NA,winter,0,0,0,1,0,1,5,3,no-till,0,1,22.4,inorganic,NA,gkg,0.004,0,0.0758895,"cc planted every other year after corn, not after soybean",
Moor,0783,10.2136/sssaj2013.09.0401,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,6.1,8.4,0.6666107249,0.9179557523,1,1.26,1.26,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Boyd Farm,42.0072222,-93.79194444,"corn,soybean",0,0,1,0,0,2,rye,1,0,0,0,0,0,0,NA,NA,0.74025,NA,winter,0,0,0,1,0,1,10,10,no-till,0,1,104,NA,NA,gkg,0.320,38,0.0023884,rye after silage,
Moor,0784,10.2136/sssaj2013.09.0401,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,6.1,8.8,0.6666107249,0.961667931,1,1.26,1.26,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Boyd Farm,42.0072222,-93.79194444,"corn,soybean",0,0,1,0,0,2,rye,1,0,0,0,0,0,0,NA,NA,0.74025,NA,winter,0,0,0,1,0,1,10,10,no-till,0,1,104,NA,NA,gkg,0.366,44,0.0023884,rye after both silage and soybean,
Moor,0785,10.2136/sssaj2013.09.0401,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,6.1,6.3,0.6666107249,0.6884668142,1,1.26,1.26,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Boyd Farm,42.0072222,-93.79194444,"corn,soybean",0,0,1,0,0,2,rye,1,0,0,0,0,0,0,NA,NA,0.74025,NA,winter,0,0,0,1,0,1,10,10,no-till,0,1,104,NA,NA,gkg,0.032,3,0.0023884,rye after soybean,
Muku,0809,10.1080/00380768.2016.1206833,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,Africa,1,0,0,0,0,0,South Africa,direct,1,0,pom fraction,0,POM,8.6,22.3,0.9398118416,2.436953961,1,1.63,1.63,,,,,,0,5,surface,1,0,0,Inceptisols,0,1,0,0,0,0,NA,64.20,16.00,19.80,0.84,6.2,NA,spring,1,0,0,0,University of Fort Hare Research Farm,-32.7975,27.84861111,corn,1,0,0,0,0,1,oats,1,0,0,0,0,0,0,NA,NA,2.52,1.29,winter,0,0,0,1,0,1,3,3,no-till,0,1,60,inorganic,NA,gkg,0.953,159,0.0079615,,
Muku,0810,10.1080/00380768.2016.1206833,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,Africa,1,0,0,0,0,0,South Africa,direct,1,0,pom fraction,0,POM,8.6,19.5,0.9398118416,2.130968711,1,1.63,1.63,,,,,,0,5,surface,1,0,0,Inceptisols,0,1,0,0,0,0,NA,64.20,16.00,19.80,0.84,6.2,NA,spring,1,0,0,0,University of Fort Hare Research Farm,-32.7975,27.84861111,corn,1,0,0,0,0,1,"oats,vetch",0,0,1,0,0,0,0,NA,NA,3.046,1.29,winter,0,0,0,1,0,2,3,3,no-till,0,1,60,inorganic,NA,gkg,0.819,127,0.0079615,"90% oats, 10% vetch",
Muku,0811,10.1080/00380768.2016.1206833,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,Africa,1,0,0,0,0,0,South Africa,direct,1,0,pom fraction,0,POM,8.6,18.1,0.9398118416,1.977976085,1,1.63,1.63,,,,,,0,5,surface,1,0,0,Inceptisols,0,1,0,0,0,0,NA,64.20,16.00,19.80,0.84,6.2,NA,spring,1,0,0,0,University of Fort Hare Research Farm,-32.7975,27.84861111,corn,1,0,0,0,0,1,"oats,vetch",0,0,1,0,0,0,0,NA,NA,3.006,1.29,winter,0,0,0,1,0,2,3,3,no-till,0,1,60,inorganic,NA,gkg,0.744,110,0.0079615,"70% oats, 30% vetch",
Muku,0812,10.1080/00380768.2016.1206833,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,Africa,1,0,0,0,0,0,South Africa,direct,1,0,pom fraction,0,POM,8.6,15.9,0.9398118416,1.737559103,1,1.63,1.63,,,,,,0,5,surface,1,0,0,Inceptisols,0,1,0,0,0,0,NA,64.20,16.00,19.80,0.84,6.2,NA,spring,1,0,0,0,University of Fort Hare Research Farm,-32.7975,27.84861111,corn,1,0,0,0,0,1,"oats,vetch",0,0,1,0,0,0,0,NA,NA,2.577,1.29,winter,0,0,0,1,0,2,3,3,no-till,0,1,60,inorganic,NA,gkg,0.615,85,0.0079615,"50% oats, 50% vetch",
Muku,0813,10.1080/00380768.2016.1206833,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,Africa,1,0,0,0,0,0,South Africa,direct,1,0,pom fraction,0,POM,8.6,13.6,0.9398118416,1.486214075,1,1.63,1.63,,,,,,0,5,surface,1,0,0,Inceptisols,0,1,0,0,0,0,NA,64.20,16.00,19.80,0.84,6.2,NA,spring,1,0,0,0,University of Fort Hare Research Farm,-32.7975,27.84861111,corn,1,0,0,0,0,1,vetch,0,1,0,0,0,0,0,NA,NA,2.689,1.29,winter,0,0,0,1,0,1,3,3,no-till,0,1,60,inorganic,NA,gkg,0.458,58,0.0079615,,
Ruis17,1017,10.1007/s12155-017-9858-z,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,13.1,15.4,1.431573852,1.682918879,1,NA,NA,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,2.36,NA,NA,spring,1,0,0,0,Rogers Memorial Farm,40.846,-96.472,corn,1,0,0,0,0,1,rye,1,0,0,0,0,0,0,NA,NA,0.22839,NA,winter,0,0,0,1,0,1,3,4,no-till,0,1,NA,NA,50,gkg,0.162,18,0.0059711,early-terminated cover crop,rainfed site
Ruis17,1018,10.1007/s12155-017-9858-z,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,13.1,13.8,1.431573852,1.508070164,1,NA,NA,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,2.36,NA,NA,spring,1,0,0,0,Rogers Memorial Farm,40.846,-96.472,corn,1,0,0,0,0,1,rye,1,0,0,0,0,0,0,NA,NA,0.7233,NA,winter,0,0,0,1,0,1,3,4,no-till,0,1,NA,NA,50,gkg,0.052,5,0.0059711,late-terminated cover crop,rainfed site
Ruis17,1019,10.1007/s12155-017-9858-z,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,14.3,14.5,1.562710388,1.584566477,1,NA,NA,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,2.20,NA,NA,spring,1,0,0,0,South Central Agricultural Laboratory,40.582,-98.144,corn,1,0,0,0,0,1,rye,1,0,0,0,0,0,0,NA,NA,0.1179,NA,winter,0,0,0,1,0,1,3,4,no-till,0,1,NA,NA,50,gkg,0.014,1,0.0059711,early-terminated cover crop,irrigated site
Ruis17,1020,10.1007/s12155-017-9858-z,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,14.3,16.4,1.562710388,1.792199326,1,NA,NA,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,2.20,NA,NA,spring,1,0,0,0,South Central Agricultural Laboratory,40.582,-98.144,corn,1,0,0,0,0,1,rye,1,0,0,0,0,0,0,NA,NA,1.2867,NA,winter,0,0,0,1,0,1,3,4,no-till,0,1,NA,NA,50,gkg,0.137,15,0.0059711,late-terminated cover crop,irrigated site
Ruis20,1029,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,16.5,17.8,1.803127371,1.945191951,1,1.1,1.08,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Haskell Agricultural Laboratory,42.380322,-96.951605,corn,1,0,0,0,0,1,rye,1,0,0,0,0,0,0,NA,NA,0.1668,NA,winter,0,0,0,1,0,1,4,4,no-till,0,1,NA,NA,50,gkg,0.076,8,0.0059711,,
Ruis20,1030,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,17.4,20.9,1.901479773,2.283961336,1,1.07,1.04,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Haskell Agricultural Laboratory,42.380322,-96.951605,"corn, soybean",0,0,1,0,0,2,rye,1,0,0,0,0,0,0,NA,NA,0.4594,NA,winter,0,0,0,1,0,1,4,4,no-till,0,1,NA,NA,50,gkg,0.183,20,0.0059711,,
Ruis20,1031,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,10.3,12.6,1.125588601,1.376933628,1,1.29,1.26,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Eastern Nebraska Research and Extension Center,41.145517,-96.497337,corn,1,0,0,0,0,1,rye,1,0,0,0,0,0,0,NA,NA,0.2144,NA,winter,0,0,0,1,0,1,4,3,no-till,0,1,NA,NA,50,gkg,0.202,22,0.0079615,,
Ruis20,1032,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,10.6,14.7,1.158372735,1.606422566,1,1.27,1.28,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Eastern Nebraska Research and Extension Center,41.145517,-96.497337,"corn, soybean",0,0,1,0,0,2,rye,1,0,0,0,0,0,0,NA,NA,0.4013,NA,winter,0,0,0,1,0,1,4,3,no-till,0,1,NA,NA,50,gkg,0.327,39,0.0079615,,
Ruis20,1033,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,15.8,13.4,1.726631058,1.464357986,1,1.2,1.16,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,South Central Agricultural Laboratory,40.575761,-98.140505,corn,1,0,0,0,0,1,rye,1,0,0,0,0,0,0,NA,NA,0.1169,NA,winter,0,0,0,1,0,1,4,4,no-till,0,1,NA,NA,50,gkg,-0.165,-15,0.0059711,,
Ruis20,1034,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,15.5,12.4,1.693846924,1.355077539,1,1.23,1.23,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,South Central Agricultural Laboratory,40.575761,-98.140505,"corn, soybean",0,0,1,0,0,2,rye,1,0,0,0,0,0,0,NA,NA,0.3875,NA,winter,0,0,0,1,0,1,4,4,no-till,0,1,NA,NA,50,gkg,-0.223,-20,0.0059711,,
Ruis20,1035,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,16.5,17.8,1.803127371,1.945191951,1,1.1,1.01,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Haskell Agricultural Laboratory,42.380322,-96.951605,corn,1,0,0,0,0,1,"winter pea,hairy vetch,radish,rye",0,0,0,0,0,0,1,NA,NA,0.0283,NA,winter,0,0,0,1,0,4,4,4,no-till,0,1,NA,NA,50,gkg,0.076,8,0.0059711,,
Ruis20,1036,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,17.4,17.9,1.901479773,1.956119996,1,1.07,1.04,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Haskell Agricultural Laboratory,42.380322,-96.951605,"corn, soybean",0,0,1,0,0,2,"winter pea,hairy vetch,radish,rye",0,0,0,0,0,0,1,NA,NA,0.2848,NA,winter,0,0,0,1,0,4,4,4,no-till,0,1,NA,NA,50,gkg,0.028,3,0.0059711,,
Ruis20,1037,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,10.3,12,1.125588601,1.31136536,1,1.29,1.23,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Eastern Nebraska Research and Extension Center,41.145517,-96.497337,corn,1,0,0,0,0,1,"winter pea,hairy vetch,radish,rye",0,0,0,0,0,0,1,NA,NA,0.1246,NA,winter,0,0,0,1,0,4,4,3,no-till,0,1,NA,NA,50,gkg,0.153,17,0.0079615,,
Ruis20,1038,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,10.6,11.4,1.158372735,1.245797092,1,1.27,1.29,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,Eastern Nebraska Research and Extension Center,41.145517,-96.497337,"corn, soybean",0,0,1,0,0,2,"winter pea,hairy vetch,radish,rye",0,0,0,0,0,0,1,NA,NA,0.1794,NA,winter,0,0,0,1,0,4,4,3,no-till,0,1,NA,NA,50,gkg,0.073,8,0.0079615,,
Ruis20,1039,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,15.8,14.3,1.726631058,1.562710388,1,1.2,1.12,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,South Central Agricultural Laboratory,40.575761,-98.140505,corn,1,0,0,0,0,1,"winter pea,hairy vetch,radish,rye",0,0,0,0,0,0,1,NA,NA,0.0345,NA,winter,0,0,0,1,0,4,4,4,no-till,0,1,NA,NA,50,gkg,-0.100,-9,0.0059711,,
Ruis20,1040,10.1002/agj2.20143,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,15.5,13.8,1.693846924,1.508070164,1,1.23,1.26,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,South Central Agricultural Laboratory,40.575761,-98.140505,"corn, soybean",0,0,1,0,0,2,"winter pea,hairy vetch,radish,rye",0,0,0,0,0,0,1,NA,NA,0.3159,NA,winter,0,0,0,1,0,4,4,4,no-till,0,1,NA,NA,50,gkg,-0.116,-11,0.0059711,,
Wegn,1230,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,9.74,9.54,1.064391551,1.042535462,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,37,gkg,-0.021,-2,0.0079615,soybean phase (9 mo after rr),
Wegn,1231,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,7.51,7.18,0.8206961547,0.7846336073,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,55,gkg,-0.045,-4,0.0079615,soybean phase (9 mo after rr),
Wegn,1232,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,7.58,5.82,0.828345786,0.6360121998,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,98,gkg,-0.264,-23,0.0079615,soybean phase (9 mo after rr),
Wegn,1233,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,8.42,8.45,0.9201413612,0.9234197746,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,37,gkg,0.004,0,0.0079615,corn phase (21 mo after rr),
Wegn,1234,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,7.73,6.87,0.844737853,0.7507566688,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,55,gkg,-0.118,-11,0.0079615,corn phase (21 mo after rr),
Wegn,1235,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,0,POM,7.2,7.05,0.7868192162,0.7704271492,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,98,gkg,-0.021,-2,0.0079615,corn phase (21 mo after rr),
Wegn,1242,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,1,POM,9.74,9.55,0.5321957754,0.521814133,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,37,gkg,-0.020,-2,0.0019904,soybean phase (9 mo after rr),
Wegn,1243,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,1,POM,7.51,7.18,0.4103480774,0.3923168037,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,55,gkg,-0.045,-4,0.0019904,soybean phase (9 mo after rr),
Wegn,1244,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,1,POM,7.59,5.82,0.4147192952,0.3180060999,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,98,gkg,-0.266,-23,0.0019904,soybean phase (9 mo after rr),
Wegn,1245,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,1,POM,8.42,8.44,0.4600706806,0.4611634851,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,37,gkg,0.002,0,0.0019904,corn phase (21 mo after rr),
Wegn,1246,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,1,POM,7.73,6.88,0.4223689265,0.3759247366,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,55,gkg,-0.116,-11,0.0019904,corn phase (21 mo after rr),
Wegn,1247,10.1007/s12155-017-9891-y,sodium hexametaphosphate,1,0,0,0,0,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,1,POM,7.19,7.05,0.3928632059,0.3852135746,1,NA,NA,,,,,,0,5,surface,1,0,0,Ultisols,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,summer,0,1,0,0,North Central Agricultural Research Laboratory,44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,2,7,3,no-till,0,1,NA,NA,98,gkg,-0.020,-2,0.0019904,corn phase (21 mo after rr),
Jill,0664,10.1016/j.geoderma.2019.114001,combo,0,0,0,0,1,size,1,0,0,North America,0,0,0,0,1,0,USA,direct,1,0,pom fraction,1,PON,0.378375639,0.331288544,0.114571875,0.060530923,,NA,NA,,,,,,0,5,surface,1,0,0,Mollisols,0,0,1,0,0,0,NA,14.00,65.00,21.00,3.05,6.2,NA,summer,0,1,0,0,Illinois,40.05,-88.25,"corn,soybean",0,0,1,0,0,2,rye,1,0,0,0,0,0,0,NA,NA,NA,NA,winter,0,0,0,1,0,1,3,4,conventional,1,0,NA,NA,NA,gkg,-0.133,-12,0.0312679,chisel plow,
