"","X","StudyID","Obs.ID","DOI","DispersingAgent","DispersingAgent.SodiumHex","DispersingAgent.OtherSolution","DispersingAgent.GlassBeads","DispersingAgent.Sonication","DispersingAgent.Combo","FractionationMethod","FractionationMethod.Size","FractionationMethod.Density","FractionationMethod.SizeAndDensity","Continent","Continent.Africa","Continent.Asia","Continent.Australia","Continent.Europe","Continent.NorthAmerica","Continent.SouthAmerica","country","ResponseCalc","ResponseCalc.Direct","ResponseCalc.Indirect","rv.type","summed","rv","mean.control.in.g.kg.1","mean.treatment.in.g.kg.1","sd.control.in.g.kg..1","sd.treatment.in.g.kg.1","sd.imputed.in.g.kg.1","control.BD..Mg.m.3.","treat.BD..Mg.m.3.","mean.control.in.Mg.ha.1","mean.treatment.in.Mg.ha.1","sd.control.in.Mg.ha.1","sd.treatment.in.Mg.ha.1","sd.imputed.in.Mg.ha.1","depth.upper.limit..cm.","depth.lower.limit..cm.","depth.type","depth.surface","depth.subsoil","depth.deepsoil","depth.upperprofile","depth.lowerprofile","depth.wholeprofile","soilorder","soilorder.Alfisols","soilorder.Inceptisols","soilorder.Mollisols","soilorder.Oxisols","soilorder.Spodosols","soilorder.Ultisols","Baseline.depth..cm.","Baseline...sand","Baseline...silt","Baseline...clay","Baseline.TOC..","Baseline.pH","pH.method","SoilCollectionSeason","SoilCollectionSeason.spring","SoilCollectionSeason.summer","SoilCollectionSeason.fall","SoilCollectionSeason.winter","location.name","lat.decimal","long.decimal","maincrop","maincrop.cereal","maincrop.legume","maincrop.cereallegume","maincrop.otherrowcrop","maincrop.perennial","number.of.crop.species.in.control","cover.crop.added","ccadded.grass","ccadded.legume","ccadded.grasslegume","ccadded.brassica","ccadded.grassbrassica","ccadded.legumebrassica","ccadded.grasslegumebrassica","total.C.inputs.cover.crops..Mg.ha.1.yr.1.","bg.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.fallow..Mg.ha.1.yr.1.","ccseason","ccseason.spring","ccseason.summer","ccseason.fall","ccseason.winter","ccseason.yearround","number.crop.species.added","duration..yr.","reps","tillage","tillage.conventional","tillage.reducednotill","N.fertilization.rate..kg.ha.1.yr.1.","N.type","residue.removal....","logRR.type","logRR","percent.change","var","Further.notes","Further.notes.2","Temp","Prec","depth","maincrop.category","cropping.system","cover.crop.category","cover.crop","sand","silt","clay","toc","ph","species.added","ag.C.inputs","duration","nfert","StudyNum"
"1153",1153,"deOl",352,"10.1590/18069657rbcs20150105","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",8.04,10.42,0.8786147915,1.138702255,1,1.66,1.66,NA,NA,NA,NA,NA,10,20,"subsoil",0,1,0,0,0,0,"Oxisols",0,0,0,1,0,0,"0-20",90,1.65,8.35,NA,5.85,"water","spring",1,0,0,0,"Rio Real",-11.4644444,-37.93638889,"orange tree",0,0,0,0,1,1,"millet",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"conventional",1,0,NA,NA,NA,"gkg",0.259,30,0.0079615,"","",24.1,946,"subsoil","perennial","perennial","grass","grass",90,1.65,8.35,NA,5.85,1,NA,1,NA,10
"1167",1167,"deOl",356,"10.1590/18069657rbcs20150105","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",9.12,11.9,0.9966376739,1.300437316,1,1.66,1.66,NA,NA,NA,NA,NA,20,40,"lower profile",0,0,0,0,1,0,"Oxisols",0,0,0,1,0,0,"0-20",90,1.65,8.35,NA,5.85,"water","spring",1,0,0,0,"Rio Real",-11.4644444,-37.93638889,"orange tree",0,0,0,0,1,1,"millet",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"conventional",1,0,NA,NA,NA,"gkg",0.266,30,0.0079615,"","",24.1,946,"lower profile","perennial","perennial","grass","grass",90,1.65,8.35,NA,5.85,1,NA,1,NA,10
"1169",1169,"Baye01",61,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAON",0.9915492958,1.294805195,0.10835695,0.1414968901,1,1.42,1.54,0.704,0.997,NA,NA,NA,2.5,7.5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"oat, vetch, cowpea",0,0,1,0,0,0,0,NA,NA,5.14,0.47,"winter and summer",0,1,0,1,0,3,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.267,31,0.0079615,"","",18.9,1372,"surface","cereal","cereal","grass+legume","grass+legume",54,24,22,NA,NA,3,5.14,12,NA,47
"1179",1179,"Garc18",523,"10.1016/j.scitotenv.2017.11.240","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Europe",0,0,0,1,0,0,"Spain","indirect",0,1,"maom fraction",0,"MAOC",6.378641606,8.372700423,0.697060804,0.9149724423,1,1.37,1.42,4.3693695,5.9446173,NA,NA,NA,5,10,"surface",1,0,0,0,0,0,"Alfisols",1,0,0,0,0,0,NA,49,24.13,26.88,0.69,NA,NA,"summer",0,1,0,0,"Belmonte de Tajo",40.2552778,-3.335277778,"grapevine",0,0,0,0,1,1,"brachypodium",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,3,12,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.272,31,0.0019904,"","",13.7,440,"surface","perennial","perennial","grass","grass",49,24.13,26.88,0.69,NA,1,NA,3,NA,12
"1187",1187,"Baye01",60,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAON",0.9714285714,1.284275437,0.1061581482,0.1403461934,1,1.42,1.39,2.414,3.124,NA,NA,NA,0,17.5,"upper profile",0,0,0,1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.279,32,0.0079615,"","",18.9,1372,"upper profile","cereal","cereal","legume","legume",54,24,22,NA,NA,1,5.8,12,NA,47
"1189",1189,"Baye09",83,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",8.472222222,11.23287671,0.925848229,1.227533785,NA,1.44,1.46,NA,NA,NA,NA,NA,0,2.5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"mucuna",0,1,0,0,0,0,0,NA,NA,2,0.72,"summer",0,1,0,0,0,1,8,2,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.282,33,0.0119422,"","",19.4,1654,"surface","cereal","cereal","legume","legume",66,25.3,8.7,NA,NA,1,2,8,NA,5
"1191",1191,"Baye09",89,"10.1080/00103620902820365","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",7.222222222,9.589041096,0.7892476706,1.047894694,NA,1.44,1.46,NA,NA,NA,NA,NA,2.5,5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,"0-20",66,25.3,8.7,NA,NA,NA,"spring",1,0,0,0,"Santa Maria, Rio Grande do Sul",-29.75,-53.7,"corn",1,0,0,0,0,1,"mucuna",0,1,0,0,0,0,0,NA,NA,2,0.72,"summer",0,1,0,0,0,1,8,2,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.283,33,0.0119422,"","",19.4,1654,"surface","cereal","cereal","legume","legume",66,25.3,8.7,NA,NA,1,2,8,NA,5
"1201",1201,"Jill",658,"10.1016/j.geoderma.2019.114001","combo",0,0,0,0,1,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"maom fraction",1,"MAON",1.682453315,2.27394077,0.172537439,0.14858598,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,0,0,0,"Mollisols",0,0,1,0,0,0,NA,14,65,21,3.05,6.2,NA,"summer",0,1,0,0,"Illinois",40.05,-88.25,"corn,soybean",0,0,1,0,0,2,"rye",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,3,4,"conventional",1,0,NA,NA,NA,"gkg",0.301,35,0.0036966,"chisel plow","",10.9,970,"surface","cereal+legume","cereal+legume","grass","grass",14,65,21,3.05,6.2,1,NA,3,NA,25
"1211",1211,"Baye01",54,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",11.69014085,15.97122302,1.277503814,1.745342386,1,1.42,1.39,8.3,11.1,NA,NA,NA,2.5,7.5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.312,37,0.0079615,"","",18.9,1372,"surface","cereal","cereal","legume","legume",54,24,22,NA,NA,1,5.8,12,NA,47
"1214",1214,"Baye01",52,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",10.86519115,15.00513875,1.187352942,1.639768265,1,1.42,1.39,27,36.5,NA,NA,NA,0,17.5,"upper profile",0,0,0,1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.323,38,0.0079615,"","",18.9,1372,"upper profile","cereal","cereal","legume","legume",54,24,22,NA,NA,1,5.8,12,NA,47
"1218",1218,"Nasc",827,"10.1016/j.still.2013.02.008","other solution",0,1,0,0,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",14,19.4,1.529926254,2.120040666,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,0,0,0,NA,0,0,0,0,0,0,"0-20",NA,NA,NA,1.04,6.25,"water","fall",0,0,1,0,"Santo Antonio de Goias",-16.45,-49.28333333,"rice",1,0,0,0,0,1,"millet",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,2,3,"reduced or no-till",0,1,55,"organic",NA,"gkg",0.326,39,0.0079615,"","",22.8,1442,"surface","cereal","cereal","grass","grass",NA,NA,NA,1.04,6.25,1,NA,2,55,2
"1228",1228,"Ball",35,"10.1016/j.geoderma.2020.114619","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Australia",0,0,1,0,0,0,"Australia","direct",1,0,"maom fraction",0,"MAON",2.67,3.76,0.56,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,0,0,0,NA,0,0,0,0,0,0,NA,57.25,15,27.75,NA,7.1,"water","fall",0,0,1,0,"Eden Valley, Nuriootpa, Langhorne Creek and Waikerie",-34.5284444,139.2772222,"grapevine",0,0,0,0,1,1,"legume",0,1,0,0,0,0,0,NA,3.3,NA,NA,"year-round",0,0,0,0,1,1,3,16,NA,0,0,0.035,NA,NA,"gkg",0.342,41,0.0032909,"average of four sites in Australia","",15.2,394,"surface","perennial","perennial","legume","legume",57.25,15,27.75,NA,7.1,1,NA,3,0.035,52
"1234",1234,"Baye01",49,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",12.3943662,17.92207792,1.354461875,1.958532681,1,1.42,1.54,4.4,6.9,NA,NA,NA,0,2.5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"oat, vetch, cowpea",0,0,1,0,0,0,0,NA,NA,5.14,0.47,"winter and summer",0,1,0,1,0,3,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.369,45,0.0079615,"","",18.9,1372,"surface","cereal","cereal","grass+legume","grass+legume",54,24,22,NA,NA,3,5.14,12,NA,47
"1246",1246,"Guim",541,"10.1016/j.still.2020.104863","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",3.949506563,5.822264812,0.4316038414,0.6362596995,1,1.4938575,1.527756,11.8,17.79,NA,NA,NA,20,40,"lower profile",0,0,0,0,1,0,"Inceptisols",0,1,0,0,0,0,"0-20",40.75,19.5,39.75,1.06,5.35,NA,"winter",0,0,0,1,"Lavras",-21.2393889,-44.96905556,"olive",0,0,0,0,1,1,"pearl millet, brown hemp",0,0,1,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,2,3,3,NA,0,0,31.26,"inorganic",NA,"gkg",0.388,47,0.0079615,"","",20,1519,"lower profile","perennial","perennial","grass+legume","grass+legume",40.75,19.5,39.75,1.06,5.35,2,NA,3,31.26,56
"1251",1251,"Baye01",57,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAON",1.121126761,1.680519481,0.1225172332,0.1836479195,1,1.42,1.54,0.398,0.647,NA,NA,NA,0,2.5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"oat, vetch, cowpea",0,0,1,0,0,0,0,NA,NA,5.14,0.47,"winter and summer",0,1,0,1,0,3,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.405,50,0.0079615,"","",18.9,1372,"surface","cereal","cereal","grass+legume","grass+legume",54,24,22,NA,NA,3,5.14,12,NA,47
"1254",1254,"Guim",540,"10.1016/j.still.2020.104863","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",3.949506563,5.950408781,0.4316038414,0.6502633296,1,1.4938575,1.4435983,11.8,17.18,NA,NA,NA,20,40,"lower profile",0,0,0,0,1,0,"Inceptisols",0,1,0,0,0,0,"0-20",40.75,19.5,39.75,1.06,5.35,NA,"winter",0,0,0,1,"Lavras",-21.2393889,-44.96905556,"olive",0,0,0,0,1,1,"jack bean",0,1,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,3,3,NA,0,0,31.26,"inorganic",NA,"gkg",0.41,51,0.0079615,"","",20,1519,"lower profile","perennial","perennial","legume","legume",40.75,19.5,39.75,1.06,5.35,1,NA,3,31.26,56
"1257",1257,"Baye01",62,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAON",0.9915492958,1.494964029,0.10835695,0.1633703369,1,1.42,1.39,0.704,1.039,NA,NA,NA,2.5,7.5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.411,51,0.0079615,"","",18.9,1372,"surface","cereal","cereal","legume","legume",54,24,22,NA,NA,1,5.8,12,NA,47
"1303",1303,"Baye01",50,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",12.3943662,21.29496403,1.354461875,2.327123182,1,1.42,1.39,4.4,7.4,NA,NA,NA,0,2.5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.541,72,0.0079615,"","",18.9,1372,"surface","cereal","cereal","legume","legume",54,24,22,NA,NA,1,5.8,12,NA,47
"1312",1312,"Baye01",58,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAON",1.121126761,2.014388489,0.1225172332,0.2201332739,1,1.42,1.39,0.398,0.7,NA,NA,NA,0,2.5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.586,80,0.0079615,"","",18.9,1372,"surface","cereal","cereal","legume","legume",54,24,22,NA,NA,1,5.8,12,NA,47
